Authors,ArticleTitle,Source Title,Volume,Issue,Start Page,End Page,DOI,Early Access Date,Document Type,Publication Date,Publication Year,Abstract,N,O
"Ilievski, Filip; Hammer, Barbara; van Harmelen, Frank; Paassen, Benjamin; Saralajew, Sascha; Schmid, Ute; Biehl, Michael; Bolognesi, Marianna; Dong, Xin Luna; Gashteovski, Kiril; Hitzler, Pascal; Marra, Giuseppe; Minervini, Pasquale; Mundt, Martin; Ngomo, Axel-Cyrille Ngonga; Oltramari, Alessandro; Pasi, Gabriella; Saribatur, Zeynep G.; Serafini, Luciano; Shawe-Taylor, John; Shwartz, Vered; Skitalinskaya, Gabriella; Stachl, Clemens; van de Ven, Gido M.; Villmann, Thomas",Aligning generalization between humans and machines,NATURE MACHINE INTELLIGENCE,7,9,1378,1389,10.1038/s42256-025-01109-4,25-Sep,Review,25-Sep,2025,"Recent advances in artificial intelligence (AI)-including generative approaches-have resulted in technology that can support humans in scientific discovery and forming decisions, but may also disrupt democracies and target individuals. The responsible use of AI and its participation in human-AI teams increasingly shows the need for AI alignment, that is, to make AI systems act according to our preferences. A crucial yet often overlooked aspect of these interactions is the different ways in which humans and machines generalize. In cognitive science, human generalization commonly involves abstraction and concept learning. By contrast, AI generalization encompasses out-of-domain generalization in machine learning, rule-based reasoning in symbolic AI, and abstraction in neurosymbolic AI. Here we combine insights from AI and cognitive science to identify key commonalities and differences across three dimensions: notions of, methods for, and evaluation of generalization. We map the different conceptualizations of generalization in AI and cognitive science along these three dimensions and consider their role for alignment in human-AI teaming. This results in interdisciplinary challenges across AI and cognitive science that must be tackled to support effective and cognitively supported alignment in human-AI teaming scenarios.",Human-AI Interaction and Perception,对比人类与机器的泛化方式，探讨三维框架下的对齐挑战以改进人机协同。
"Altay, Sacha; Gilardi, Fabrizio","People are skeptical of headlines labeled as AI-generated, even if true or human-made, because they assume full AI automation",PNAS NEXUS,3,10,,,10.1093/pnasnexus/pgae403,,Article,OCT 1 2024,2024,"The rise of generative AI tools has sparked debates about the labeling of AI-generated content. Yet, the impact of such labels remains uncertain. In two preregistered online experiments among US and UK participants (N = 4,976), we show that while participants did not equate AI-generated with False, labeling headlines as AI-generated lowered their perceived accuracy and participants' willingness to share them, regardless of whether the headlines were true or false, and created by humans or AI. The impact of labeling headlines as AI-generated was three times smaller than labeling them as false. This AI aversion is due to expectations that headlines labeled as AI-generated have been entirely written by AI with no human supervision. These findings suggest that the labeling of AI-generated content should be approached cautiously to avoid unintended negative effects on harmless or even beneficial AI-generated content and that effective deployment of labels requires transparency regarding their meaning.",Content Authenticity and Mitigation Strategies,将标题标注为“AI生成”会降低公众对其准确性的判断与分享意愿，因人们假设完全由AI自动化完成。
"Gao, Jian; Wang, Dashun",Quantifying the use and potential benefits of artificial intelligence in scientific research,NATURE HUMAN BEHAVIOUR,8,12,,,10.1038/s41562-024-02020-5,24-Oct,Article,24-Dec,2024,"The rapid advancement of artificial intelligence (AI) is poised to reshape almost every line of work. Despite enormous efforts devoted to understanding AI's economic impacts, we lack a systematic understanding of the benefits to scientific research associated with the use of AI. Here we develop a measurement framework to estimate the direct use of AI and associated benefits in science. We find that the use and benefits of AI appear widespread throughout the sciences, growing especially rapidly since 2015. However, there is a substantial gap between AI education and its application in research, highlighting a misalignment between AI expertise supply and demand. Our analysis also reveals demographic disparities, with disciplines with higher proportions of women or Black scientists reaping fewer benefits from AI, potentially exacerbating existing inequalities in science. These findings have implications for the equity and sustainability of the research enterprise, especially as the integration of AI with science continues to deepen.Gao and Wang develop a measurement framework that demonstrates the widespread use and benefits of AI in science. Nonetheless, there is a substantial gap between AI education and application across disciplines.",Applications in Professional and Scientific Fields,构建测量框架表明AI在科学研究中的应用与益处广泛且增长迅速，但AI教育与实务脱节且存在人口学差距。
"Choi, Sukwoong; Kang, Hyo; Kim, Namil; Kim, Junsik",The dual edges of AI: Advancing knowledge while reducing diversity,PNAS NEXUS,4,5,,,10.1093/pnasnexus/pgaf138,,Article,25-May,2025,"We study how the interaction between human professionals and AI in advancing knowledge, using professional Go matches from 2003 to 2021. In 2017, an AI-powered Go program (APG) far surpassed the best human player, and professional players began learning from AI. Such human-AI interaction paved a new way to reassess historical Go knowledge and create new knowledge. We analyze standard patterns (defined as a sequence of the first eight alternating moves) in about 15 million moves by over 1,700 players in nearly 70,000 professional Go games and find that, after APG, professional players significantly changed how they adopted different sets of moves. However, new knowledge catalyzed by AI comes at the expense of a reduced diversity in moves. Further, AI's impact on knowledge creation is greater for highly skilled players; since AI does not explain, learning from AI requires the absorptive capacity of the top professionals.",Impact on Human Cognition and Collective Intelligence,围绕围棋职业赛数据发现自AI出现后高水平选手采纳新走法并推动知识革新，但总体棋路多样性下降。
"Wang, Ge; Zhao, Jun; Van Kleek, Max; Shadbolt, Nigel",Challenges and opportunities in translating ethical AI principles into practice for children,NATURE MACHINE INTELLIGENCE,6,3,265,270,10.1038/s42256-024-00805-x,,Review,24-Mar,2024,"AI systems are becoming increasingly pervasive within children's devices, apps and services. The concern over a world where AI systems are deployed unchecked has raised burning questions about the impact, governance and accountability of these technologies. Although recent effort on AI ethics has converged into growing consensus on a set of high-level ethical AI principles, engagement with children's issues is still limited, and even less is known about how to effectively apply them in practice for children. This Perspective first maps the current global landscape of existing ethics guidelines for AI and analyses their correlation with children. We then critically assess the strategies and recommendations proposed by current AI ethics initiatives, identifying the critical challenges in translating such ethical AI principles into practice for children. Finally, we tentatively map out several suggestions regarding embedding ethics into the development and governance of AI for children.As the impacts of AI on everyday life increase, guidelines are needed to ensure ethical deployment and use of this technology. This is even more pressing for technology that interacts with groups that need special protection, such as children. In this Perspective Wang et al. survey the existing AI ethics guidelines with a focus on children's issues, and provide suggestions for further development.","Bias, Ethics, and Societal Risks",评估现有AI伦理指南在儿童场景中的适用性，指出将伦理原则落地于儿童技术中的挑战与建议。
"Koebis, Nils; Starke, Christopher; Rahwan, Iyad",The promise and perils of using artificial intelligence to fight corruption,NATURE MACHINE INTELLIGENCE,4,5,418,424,10.1038/s42256-022-00489-1,22-May,Article,22-May,2022,"Despite the growing number of initiatives that employ AI to counter corruption, few studies empirically tackle the political and social consequences of embedding AI in anti-corruption efforts. The authors outline the societal and technical challenges that need to be overcome for AI to fight corruption.Corruption presents one of the biggest challenges of our time, and much hope is placed in artificial intelligence (AI) to combat it. Although the growing number of AI-based anti-corruption tools (AI-ACT) have been summarized, a critical examination of their promises and perils is lacking. Here we argue that the success of AI-ACT strongly depends on whether they are implemented top-down (by governments) or bottom-up (by citizens, non-governmental organizations or journalists). Top-down use of AI-ACT can consolidate power structures and thereby pose new corruption risks. Bottom-up use of AI-ACT has the potential to provide unprecedented means for the citizenry to keep their government and bureaucratic officials in check. We outline the societal and technical challenges that need to be overcome to harness the potential for AI to fight corruption.","Bias, Ethics, and Societal Risks",分析AI反腐工具的社会与技术挑战，指出自上而下可能加固权力而自下而上可增强公民监督。
"Vaccaro, Michelle; Almaatouq, Abdullah; Malone, Thomas",When combinations of humans and AI are useful: A systematic review and meta-analysis,NATURE HUMAN BEHAVIOUR,8,12,,,10.1038/s41562-024-02024-1,24-Oct,Article,24-Dec,2024,"Inspired by the increasing use of artificial intelligence (AI) to augment humans, researchers have studied human-AI systems involving different tasks, systems and populations. Despite such a large body of work, we lack a broad conceptual understanding of when combinations of humans and AI are better than either alone. Here we addressed this question by conducting a preregistered systematic review and meta-analysis of 106 experimental studies reporting 370 effect sizes. We searched an interdisciplinary set of databases (the Association for Computing Machinery Digital Library, the Web of Science and the Association for Information Systems eLibrary) for studies published between 1 January 2020 and 30 June 2023. Each study was required to include an original human-participants experiment that evaluated the performance of humans alone, AI alone and human-AI combinations. First, we found that, on average, human-AI combinations performed significantly worse than the best of humans or AI alone (Hedges' g = -0.23; 95% confidence interval, -0.39 to -0.07). Second, we found performance losses in tasks that involved making decisions and significantly greater gains in tasks that involved creating content. Finally, when humans outperformed AI alone, we found performance gains in the combination, but when AI outperformed humans alone, we found losses. Limitations of the evidence assessed here include possible publication bias and variations in the study designs analysed. Overall, these findings highlight the heterogeneity of the effects of human-AI collaboration and point to promising avenues for improving human-AI systems.Vaccaro et al. present a systematic review and meta-analysis of the performance of human-AI combinations, finding that on average, human-AI combinations performed significantly worse than the best of humans or AI alone. They also found performance losses in decision-making tasks and significantly greater gains in content creation tasks.",Impact on Human Cognition and Collective Intelligence,元分析显示人机组合总体不及最佳单一方，决策类任务表现下降而内容创造类任务能获显著提升。
"Zhou, Eric; Lee, Dokyun","Generative artificial intelligence, human creativity, and art",PNAS NEXUS,3,3,,,10.1093/pnasnexus/pgae052,24-Mar,Article,FEB 29 2024,2024,"Recent artificial intelligence (AI) tools have demonstrated the ability to produce outputs traditionally considered creative. One such system is text-to-image generative AI (e.g. Midjourney, Stable Diffusion, DALL-E), which automates humans' artistic execution to generate digital artworks. Utilizing a dataset of over 4 million artworks from more than 50,000 unique users, our research shows that over time, text-to-image AI significantly enhances human creative productivity by 25% and increases the value as measured by the likelihood of receiving a favorite per view by 50%. While peak artwork Content Novelty, defined as focal subject matter and relations, increases over time, average Content Novelty declines, suggesting an expanding but inefficient idea space. Additionally, there is a consistent reduction in both peak and average Visual Novelty, captured by pixel-level stylistic elements. Importantly, AI-assisted artists who can successfully explore more novel ideas, regardless of their prior originality, may produce artworks that their peers evaluate more favorably. Lastly, AI adoption decreased value capture (favorites earned) concentration among adopters. The results suggest that ideation and filtering are likely necessary skills in the text-to-image process, thus giving rise to generative synesthesia-the harmonious blending of human exploration and AI exploitation to discover new creative workflows.",Impact on Human Cognition and Collective Intelligence,大规模文本图像生成AI提升艺术家创作产量与作品受欢迎度，但视觉风格新颖性总体下降需掌握构思与筛选技能。
"Glickman, Moshe; Sharot, Tali","How human-AI feedback loops alter human perceptual, emotional and social judgements",NATURE HUMAN BEHAVIOUR,9,2,,,10.1038/s41562-024-02077-2,24-Dec,Article,25-Feb,2025,"Artificial intelligence (AI) technologies are rapidly advancing, enhancing human capabilities across various fields spanning from finance to medicine. Despite their numerous advantages, AI systems can exhibit biased judgements in domains ranging from perception to emotion. Here, in a series of experiments (n = 1,401 participants), we reveal a feedback loop where human-AI interactions alter processes underlying human perceptual, emotional and social judgements, subsequently amplifying biases in humans. This amplification is significantly greater than that observed in interactions between humans, due to both the tendency of AI systems to amplify biases and the way humans perceive AI systems. Participants are often unaware of the extent of the AI's influence, rendering them more susceptible to it. These findings uncover a mechanism wherein AI systems amplify biases, which are further internalized by humans, triggering a snowball effect where small errors in judgement escalate into much larger ones.",Impact on Human Cognition and Collective Intelligence,实验表明人-AI反馈循环会改变人的感知、情绪和社交判断，并放大偏见，且人们常不自觉受AI影响。
"Summerfield, Christopher; Argyle, Lisa P.; Bakker, Michiel; Collins, Teddy; Durmus, Esin; Eloundou, Tyna; Gabriel, Iason; Ganguli, Deep; Hackenburg, Kobi; Hadfield, Gillian K.; Hewitt, Luke; Huang, Saffron; Landemore, Helene; Marchal, Nahema; Ovadya, Aviv; Procaccia, Ariel; Risse, Mathias; Schneier, Bruce; Seger, Elizabeth; Siddarth, Divya; Skaug Saetra, Henrik; Tessler, Michael Henry; Botvinick, Matthew",The impact of advanced AI systems on democracy,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-025-02309-z,25-Oct,Review; Early Access,,2025,"Advanced artificial intelligence (AI) systems capable of generating humanlike text and multimodal content are now widely available. Here we ask what impact this will have on the democratic process. We consider the consequences of AI for citizens' ability to make educated and competent choices about political representatives and issues (epistemic impacts). We explore how AI might be used to destabilize or support the mechanisms, including elections, by which democracy is implemented (material impacts). Finally, we discuss whether AI will strengthen or weaken the principles on which democracy is based (foundational impacts). The arrival of new AI systems clearly poses substantial challenges for democracy. However, we argue that AI systems also offer new opportunities to educate and learn from citizens, strengthen public discourse, help people to find common ground, and reimagine how democracies might work better.","Bias, Ethics, and Societal Risks",评估先进AI对民主的认知、物质与基础性影响，认为AI既带来挑战也提供改善公共话语与参与的机会。
"DeCamp, Matthew; Lindvall, Charlotta",Mitigating bias in AI at the point of care,SCIENCE,381,6654,150,152,10.1126/science.adh2713,,Editorial Material,JUL 14 2023,2023,"Artificial intelligence (AI) shows promise for improving basic and translational science, medicine, and public health, but its success is not guaranteed. Numerous examples have arisen of racial, ethnic, gender, disability, and other biases in AI applications to health care. In ethics, bias generally refers to any systematic, unfair favoring of people in terms of how they are treated or the outcomes they experience. Consensus has emerged among scientists, ethicists, and policy-makers that minimizing bias is a shared responsibility among all involved in AI development. For example, ensuring equity by eliminating bias in AI is a core principle of the World Health Organization for governing AI (1). But ensuring equity will require more than unbiased data and algorithms. It will also require reducing biases in how clinicians and patients use AI-based algorithms-a potentially more challenging task than reducing biases in algorithms themselves.","Bias, Ethics, and Societal Risks",讨论医疗场景中AI偏见问题，强调消除偏见需在数据、算法与临床使用中共同承担责任。
"Sharma, Ashish; Lin, Inna W.; Miner, Adam S.; Atkins, David C.; Althoff, Tim",Human-AI collaboration enables more empathic conversations in text-based peer-to-peer mental health support,NATURE MACHINE INTELLIGENCE,5,1,46,57,10.1038/s42256-022-00593-2,,Article,23-Jan,2023,"Advances in artificial intelligence (AI) are enabling systems that augment and collaborate with humans to perform simple, mechanistic tasks such as scheduling meetings and grammar-checking text. However, such human-AI collaboration poses challenges for more complex tasks, such as carrying out empathic conversations, due to the difficulties that AI systems face in navigating complex human emotions and the open-ended nature of these tasks. Here we focus on peer-to-peer mental health support, a setting in which empathy is critical for success, and examine how AI can collaborate with humans to facilitate peer empathy during textual, online supportive conversations. We develop HAILEY, an AI-in-the-loop agent that provides just-in-time feedback to help participants who provide support (peer supporters) respond more empathically to those seeking help (support seekers). We evaluate HAILEY in a non-clinical randomized controlled trial with real-world peer supporters on TalkLife (N = 300), a large online peer-to-peer support platform. We show that our human-AI collaboration approach leads to a 19.6% increase in conversational empathy between peers overall. Furthermore, we find a larger, 38.9% increase in empathy within the subsample of peer supporters who self-identify as experiencing difficulty providing support. We systematically analyse the human-AI collaboration patterns and find that peer supporters are able to use the AI feedback both directly and indirectly without becoming overly reliant on AI while reporting improved self-efficacy post-feedback. Our findings demonstrate the potential of feedback-driven, AI-in-the-loop writing systems to empower humans in open-ended, social and high-stakes tasks such as empathic conversations.AI language modelling and generation approaches have developed fast in the last decade, opening promising new directions in human-AI collaboration. An AI-in-the loop conversational system called HAILEY is developed to empower peer supporters in providing empathic responses to mental health support seekers.",Human-AI Interaction and Perception,AI实时反馈系统HAILEY在在线互助心理支持中提升了同理心表达，尤其对难以提供支持者效果显著。
"Lee, Doyeon; Pruitt, Joseph; Zhou, Tianyu; Du, Jing; Odegaard, Brian",Metacognitive sensitivity: The key to calibrating trust and optimal decision making with AI,PNAS NEXUS,4,5,,,10.1093/pnasnexus/pgaf133,,Article,25-May,2025,"Knowing when to trust and incorporate the advice from artificially intelligent (AI) systems is of increasing importance in the modern world. Research indicates that when AI provides high confidence ratings, human users often correspondingly increase their trust in such judgments, but these increases in trust can occur even when AI fails to provide accurate information on a given task. In this piece, we argue that measures of metacognitive sensitivity provided by AI systems will likely play a critical role in (1) helping individuals to calibrate their level of trust in these systems and (2) optimally incorporating advice from AI into human-AI hybrid decision making. We draw upon a seminal finding in the perceptual decision-making literature that demonstrates the importance of metacognitive ratings for optimal joint decisions and outline a framework to test how different types of information provided by AI systems can guide decision making.",Impact on Human Cognition and Collective Intelligence,提出利用AI提供的元认知敏感性信息来校准人类对AI的信任并优化人机联合决策。
"Feuerriegel, Stefan; DiRresta, Renee; Goldstein, Josh A.; Kumar, Srijan; Lorenz-Spreen, Philipp; Tomz, Michael; Proellochs, Nicolas",Research can help to tackle AI-generated disinformation,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-023-01726-2,23-Nov,Editorial Material; Early Access,,2023,Generative artificial intelligence (AI) tools have made it easy to create realistic disinformation that is hard to detect by humans and may undermine public trust. Some approaches used for assessing the reliability of online information may no longer work in the AI age. We offer suggestions for how research can help to tackle the threats of AI-generated disinformation.,Content Authenticity and Mitigation Strategies,论述如何通过研究应对难以识别的AI生成虚假信息并提出应对建议。
"De Freitas, Julian; Agarwal, Stuti; Schmitt, Bernd; Haslam, Nick",Psychological factors underlying attitudes toward AI tools,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-023-01734-2,23-Nov,Article; Early Access,,2023,"What are the psychological factors driving attitudes toward artificial intelligence (AI) tools, and how can resistance to AI systems be overcome when they are beneficial? Here we first organize the main sources of resistance into five main categories: opacity, emotionlessness, rigidity, autonomy and group membership. We relate each of these barriers to fundamental aspects of cognition, then cover empirical studies providing correlational or causal evidence for how the barrier influences attitudes toward AI tools. Second, we separate each of the five barriers into AI-related and user-related factors, which is of practical relevance in developing interventions towards the adoption of beneficial AI tools. Third, we highlight potential risks arising from these well-intentioned interventions. Fourth, we explain how the current Perspective applies to various stakeholders, including how to approach interventions that carry known risks, and point to outstanding questions for future work.In this Perspective, the authors examine the psychological factors that shape attitudes towards AI tools, while also investigating strategies to overcome resistance when AI systems offer clear benefits.",Human-AI Interaction and Perception,归纳影响人们对AI工具态度的五大心理障碍并讨论克服方法与潜在风险。
"Rafner, Janet; Beaty, Roger E.; Kaufman, James C.; Lubart, Todd; Sherson, Jacob",Creativity in the age of generative AI,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-023-01751-1,23-Nov,Editorial Material; Early Access,,2023,State-of-the-art generative artificial intelligence (AI) can now match humans in creativity tests and is at the cusp of augmenting the creativity of every knowledge worker on Earth. We argue that enriching generative AI applications with insights from the psychological sciences may revolutionize our understanding of creativity and lead to increasing synergies in human-AI hybrid intelligent interfaces.,Impact on Human Cognition and Collective Intelligence,探讨生成式AI如何匹敌并增强人类创造力，建议借鉴心理学以推动人机创意协同。
"Koebis, Nils; Bonnefon, Jean-Francois; Rahwan, Iyad",Bad machines corrupt good morals,NATURE HUMAN BEHAVIOUR,5,6,679,685,10.1038/s41562-021-01128-2,21-Jun,Review,21-Jun,2021,"As machines powered by artificial intelligence (AI) influence humans' behaviour in ways that are both like and unlike the ways humans influence each other, worry emerges about the corrupting power of AI agents. To estimate the empirical validity of these fears, we review the available evidence from behavioural science, human-computer interaction and AI research. We propose four main social roles through which both humans and machines can influence ethical behaviour. These are: role model, advisor, partner and delegate. When AI agents become influencers (role models or advisors), their corrupting power may not exceed the corrupting power of humans (yet). However, AI agents acting as enablers of unethical behaviour (partners or delegates) have many characteristics that may let people reap unethical benefits while feeling good about themselves, a potentially perilous interaction. On the basis of these insights, we outline a research agenda to gain behavioural insights for better AI oversight.Kobis et al. outline how artificial intelligence (AI) agents can negatively influence human ethical behaviour. They discuss how this capacity of AI agents can cause problems in the future and put forward a research agenda to gain behavioural insights for better AI oversight.","Bias, Ethics, and Societal Risks",评估AI作为榜样、顾问、伙伴或代理对人类道德行为的潜在腐蚀风险并提出研究议程。
"Niraula, Dipesh; Cuneo, Kyle C.; Dinov, Ivo D.; Gonzalez, Brian D.; Jamaluddin, Jamalina B.; Jin, Jionghua Judy; Luo, Yi; Matuszak, Martha M.; Ten Haken, Randall K.; Bryant, Alex K.; Dilling, Thomas J.; Dykstra, Michael P.; Frakes, Jessica M.; Liveringhouse, Casey L.; Miller, Sean R.; Mills, Matthew N.; Palm, Russell F.; Regan, Samuel N.; Rishi, Anupam; Torres-Roca, Javier F.; Yu, Hsiang-Hsuan Michael; El Naqa, Issam",Intricacies of human-AI interaction in dynamic decision-making for precision oncology,NATURE COMMUNICATIONS,16,1,,,10.1038/s41467-024-55259-x,,Article,JAN 29 2025,2025,"AI decision support systems can assist clinicians in planning adaptive treatment strategies that can dynamically react to individuals' cancer progression for effective personalized care. However, AI's imperfections can lead to suboptimal therapeutics if clinicians over or under rely on AI. To investigate such collaborative decision-making process, we conducted a Human-AI interaction study on response-adaptive radiotherapy for non-small cell lung cancer and hepatocellular carcinoma. We investigated two levels of collaborative behavior: model-agnostic and model-specific; and found that Human-AI interaction is multifactorial and depends on the complex interrelationship between prior knowledge and preferences, patient's state, disease site, treatment modality, model transparency, and AI's learned behavior and biases. In summary, some clinicians may disregard AI recommendations due to skepticism; others will critically analyze AI recommendations on a case-by-case basis; clinicians will adjust their decisions if they find AI recommendations beneficial to patients; and clinician will disregard AI recommendations if deemed harmful or suboptimal and seek alternatives.",Human-AI Interaction and Perception,研究临床决策中医生与AI的互动，揭示信任、透明度与领域因素如何影响采纳AI建议。
"Koster, Raphael; Jan, Balaguer; Tacchetti, Andrea; Weinstein, Ari; Zhu, Tina; Hauser, Oliver; Williams, Duncan; Campbell-Gillingham, Lucy; Thacker, Phoebe; Botvinick, Matthew; Summerfield, Christopher",Human-centred mechanism design with Democratic AI,NATURE HUMAN BEHAVIOUR,6,10,1398,+,10.1038/s41562-022-01383-x,22-Jul,Article,22-Oct,2022,"Koster, Balaguer et al. show that an AI mechanism is able to learn to produce a redistribution policy which is preferred to alternatives by humans in an incentivized game.Building artificial intelligence (AI) that aligns with human values is an unsolved problem. Here we developed a human-in-the-loop research pipeline called Democratic AI, in which reinforcement learning is used to design a social mechanism that humans prefer by majority. A large group of humans played an online investment game that involved deciding whether to keep a monetary endowment or to share it with others for collective benefit. Shared revenue was returned to players under two different redistribution mechanisms, one designed by the AI and the other by humans. The AI discovered a mechanism that redressed initial wealth imbalance, sanctioned free riders and successfully won the majority vote. By optimizing for human preferences, Democratic AI offers a proof of concept for value-aligned policy innovation.",Impact on Human Cognition and Collective Intelligence,提出Democratic AI人机循环管道，利用强化学习设计出多数人偏好的再分配机制以对齐人类价值。
"Suzuki, Shoko",We need a culturally aware approach to AI,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-023-01738-y,23-Nov,Editorial Material; Early Access,,2023,"In Japan, people express gratitude towards technology and this helps them to achieve balance. Yet, dominant narratives teach us that anthropomorphizing artificial intelligence (AI) is not healthy. Our attitudes towards AI should not be bult upon overarching universal models, argues Shoko Suzuki.",Human-AI Interaction and Perception,主张在AI研究与实践中采用文化敏感的方法，反对以单一普世模型评判人机关系。
"Chanda, Tirtha; Haggenmueller, Sarah; Bucher, Tabea-Clara; Holland-Letz, Tim; Kittler, Harald; Tschandl, Philipp; Heppt, Markus V.; Berking, Carola; Utikal, Jochen S.; Schilling, Bastian; Buerger, Claudia; Navarrete-Dechent, Cristian; Goebeler, Matthias; Kather, Jakob Nikolas; Schneider, Carolin V.; Durani, Benjamin; Durani, Hendrike; Jansen, Martin; Wacker, Juliane; Wacker, Joerg; Brinker, Titus J.",Dermatologist-like explainable AI enhances melanoma diagnosis accuracy: eye-tracking study,NATURE COMMUNICATIONS,16,1,,,10.1038/s41467-025-59532-5,,Article,MAY 21 2025,2025,"Artificial intelligence (AI) systems substantially improve dermatologists' diagnostic accuracy for melanoma, with explainable AI (XAI) systems further enhancing their confidence and trust in AI-driven decisions. Despite these advancements, there remains a critical need for objective evaluation of how dermatologists engage with both AI and XAI tools. In this study, 76 dermatologists participate in a reader study, diagnosing 16 dermoscopic images of melanomas and nevi using an XAI system that provides detailed, domain-specific explanations, while eye-tracking technology assesses their interactions. Diagnostic performance is compared with that of a standard AI system lacking explanatory features. Here we show that XAI significantly improves dermatologists' diagnostic balanced accuracy by 2.8 percentage points compared to standard AI. Moreover, diagnostic disagreements with AI/XAI systems and complex lesions are associated with elevated cognitive load, as evidenced by increased ocular fixations. These insights have significant implications for the design of AI/XAI tools for visual tasks in dermatology and the broader development of XAI in medical diagnostics.",Applications in Professional and Scientific Fields,可解释AI在皮肤镜图像诊断中提高了皮肤科医生的准确率与信任，并通过眼动数据揭示认知负荷。
"Walter, Dror; Ophir, Yotam; Jamieson, Patrick E.; Jamieson, Kathleen Hall",Public perceptions of AI science and scientists relatively more negative but less politicized than general and climate science,PNAS NEXUS,4,6,,,10.1093/pnasnexus/pgaf163,,Article,25-Jun,2025,"Using a weighted 2023-2025 national probability panel of US adults, we compared the perceived Credibility, Prudence, Unbiasedness, Self-Correction, and Benefit (i.e. Factors Assessing Science's Self-Presentation [FASS]) of AI scientists with those of scientists in general and climate scientists in particular. Our analysis reveals that respondents' composite perceptions of AI scientists are the most negative of the three, a difference driven by a facet of the Prudence factor, specifically the perception that AI science is causing unintended consequences; political ideology and patterns of media exposure are substantially more predictive of perceptions of climate science and science in general than of AI; and FASS and respondent ideology predict more variance in support for federal funding of the other two than of AI.",Human-AI Interaction and Perception,美国公众对AI科学家的总体感知较为负面，主要源于对不良后果的谨慎担忧，政治化程度低于气候科学。
"Alvarez, Amanda; Caliskan, Aylin; Crockett, M. J.; Ho, Shirley S.; Messeri, Lisa; West, Jevin",Science communication with generative AI,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-024-01846-3,24-Mar,Article; Early Access,,2024,"Generative AI tools can quickly translate or summarize large volumes of complex information. This technology could revolutionize the way that we communicate science, but there are many reasons for caution. We asked six experts about the potential and pitfalls of generative AI for science communication.",Applications in Professional and Scientific Fields,讨论生成式AI在科学传播中快速处理与翻译信息的潜力及其须谨慎对待的陷阱。
"Capraro, Valerio; Lentsch, Austin; Acemoglu, Daron; Akgun, Selin; Akhmedova, Aisel; Bilancini, Ennio; Bonnefon, Jean-Francois; Branas-Garza, Pablo; Butera, Luigi; Douglas, Karen M.; Everett, Jim A. C.; Gigerenzer, Gerd; Greenhow, Christine; Hashimoto, Daniel A.; Holt-Lunstad, Julianne; Jetten, Jolanda; Johnson, Simon; Kunz, Werner H.; Longoni, Chiara; Lunn, Pete; Natale, Simone; Paluch, Stefanie; Rahwan, Iyad; Selwyn, Neil; Singh, Vivek; Suri, Siddharth; Sutcliffe, Jennifer; Tomlinson, Joe; van der Linden, Sander; Van Lange, Paul A. M.; Wall, Friederike; Van Bavel, Jay J.; Viale, Riccardo",The impact of generative artificial intelligence on socioeconomic inequalities and policy making,PNAS NEXUS,3,6,,,10.1093/pnasnexus/pgae191,24-Jun,Review,JUN 11 2024,2024,"Generative artificial intelligence (AI) has the potential to both exacerbate and ameliorate existing socioeconomic inequalities. In this article, we provide a state-of-the-art interdisciplinary overview of the potential impacts of generative AI on (mis)information and three information-intensive domains: work, education, and healthcare. Our goal is to highlight how generative AI could worsen existing inequalities while illuminating how AI may help mitigate pervasive social problems. In the information domain, generative AI can democratize content creation and access but may dramatically expand the production and proliferation of misinformation. In the workplace, it can boost productivity and create new jobs, but the benefits will likely be distributed unevenly. In education, it offers personalized learning, but may widen the digital divide. In healthcare, it might improve diagnostics and accessibility, but could deepen pre-existing inequalities. In each section, we cover a specific topic, evaluate existing research, identify critical gaps, and recommend research directions, including explicit trade-offs that complicate the derivation of a priori hypotheses. We conclude with a section highlighting the role of policymaking to maximize generative AI's potential to reduce inequalities while mitigating its harmful effects. We discuss strengths and weaknesses of existing policy frameworks in the European Union, the United States, and the United Kingdom, observing that each fails to fully confront the socioeconomic challenges we have identified. We propose several concrete policies that could promote shared prosperity through the advancement of generative AI. This article emphasizes the need for interdisciplinary collaborations to understand and address the complex challenges of generative AI.","Bias, Ethics, and Societal Risks",综述生成式AI在信息、工作、教育与医疗中可能加剧或缓解不平等，并提出政策与研究方向。
"Feuerriegel, Stefan; Shrestha, Yash Raj; von Krogh, Georg; Zhang, Ce",Bringing artificial intelligence to business management,NATURE MACHINE INTELLIGENCE,4,7,611,613,10.1038/s42256-022-00512-5,,Editorial Material,22-Jul,2022,"Artificial intelligence (AI) can support managers by effectively delegating management decisions to AI. There are, however, many organizational and technical hurdles that need to be overcome, and we offer a first step on this journey by unpacking the core factors that may hinder or foster effective decision delegation to AI.",Applications in Professional and Scientific Fields,探讨将AI引入管理决策委派的可能性及相关组织与技术障碍，提出初步框架。
